,H,B,C,N,O,Si,P,S,F,Cl,Br,I,Sn,Al,As,Li,Se,Zn,Sb,Mg,Fr,Te
H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B,0,2,2,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C,0,0,3,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
N,0,0,0,3,2,1,2,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1
O,0,0,0,0,1,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1
Si,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P,0,0,0,0,0,0,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1
S,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1
F,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cl,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Br,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
I,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Sn,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Al,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
As,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Zn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Te,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1